,image_name,label
0,0__2831541_21015_1_0.png,0
1,1__2410667_21015_0_0.png,1
2,2__5631825_21015_0_0.png,2
3,3__2788038_21015_0_0.png,3
4,4__1774287_21015_0_0.png,4
5,5__1354790_21015_0_0.png,0
6,6__1486299_21015_0_0.png,1
7,7__2437969_21015_0_0.png,2
8,8__1770461_21015_0_0.png,3
9,9__2342966_21015_1_0.png,4
10,10__2301599_21015_0_0.png,0
11,11__1107480_21015_0_0.png,1
12,12__2318137_21015_0_0.png,2
13,13__5757454_21015_0_0.png,3
14,14__2501483_21015_1_0.png,4
15,15__3992775_21015_0_0.png,0
16,16__3422105_21015_0_0.png,1
17,17__3527595_21015_1_0.png,2
18,18__3716694_21015_1_0.png,3
19,19__2506977_21015_0_0.png,4
20,20__4212412_21015_0_0.png,0
21,21__3837506_21015_1_0.png,1
22,22__2198442_21015_0_0.png,2
23,23__3746670_21015_0_0.png,3
24,24__3520790_21015_0_0.png,4
25,25__1422276_21015_0_0.png,0
26,26__1045136_21015_0_0.png,1
27,27__2696797_21015_0_0.png,2
28,28__2335631_21015_1_0.png,3
29,29__4148927_21015_0_0.png,4
30,30__2836452_21015_0_0.png,0
31,31__2513841_21015_0_0.png,1
32,32__2710129_21015_0_0.png,2
33,33__4391289_21015_0_0.png,3
34,34__3268123_21015_1_0.png,4
35,35__3448088_21015_0_0.png,0
36,36__3875021_21015_0_0.png,1
37,37__2226435_21015_0_0.png,2
38,38__2618187_21015_0_0.png,3
39,39__5578856_21015_1_0.png,4
40,40__5047361_21015_0_0.png,0
41,41__2474488_21015_1_0.png,1
42,42__6003446_21015_0_1.png,2
43,43__3031827_21015_0_0.png,3
44,44__5123849_21015_0_0.png,4
45,45__1034515_21015_0_0.png,0
46,46__3904095_21015_0_0.png,1
47,47__1014922_21015_0_0.png,2
48,48__2637958_21015_0_0.png,3
49,49__5467796_21015_0_0.png,4
50,50__3446976_21015_0_0.png,0
51,51__2969594_21015_0_0.png,1
52,52__5364257_21015_0_0.png,2
53,53__1343094_21015_0_0.png,3
54,54__3023511_21015_1_0.png,4
55,55__4100132_21015_0_0.png,0
56,56__1200103_21015_0_0.png,1
57,57__5836484_21015_0_0.png,2
58,58__5696925_21015_0_0.png,3
59,59__5125855_21015_1_0.png,4
60,60__1338111_21015_0_0.png,0
61,61__3089662_21015_0_0.png,1
62,62__3160627_21015_0_0.png,2
63,63__4140264_21015_0_0.png,3
64,64__3869926_21015_0_0.png,4
65,65__2121209_21015_1_0.png,0
66,66__2413717_21015_0_0.png,1
67,67__4209507_21015_0_0.png,2
68,68__2583810_21015_1_0.png,3
69,69__4851474_21015_1_0.png,4
70,70__5621194_21015_0_0.png,0
71,71__1226264_21015_0_0.png,1
72,72__1918862_21015_0_0.png,2
73,73__1786370_21015_0_0.png,3
74,74__3045864_21015_0_0.png,4
75,75__5858284_21015_0_0.png,0
76,76__5524660_21015_0_0.png,1
77,77__1885614_21015_0_0.png,2
78,78__4354046_21015_1_0.png,3
79,79__3026852_21015_1_0.png,4
80,80__5868913_21015_0_0.png,0
81,81__2993542_21015_1_0.png,1
82,82__2175144_21015_0_0.png,2
83,83__2050996_21015_1_0.png,3
84,84__2888257_21015_1_0.png,4
85,85__3270272_21015_0_0.png,0
86,86__5003088_21015_0_0.png,1
87,87__3301944_21015_1_0.png,2
88,88__5801596_21015_0_0.png,3
89,89__2406830_21015_0_0.png,4
